Task,Question,Token_Step,Token_Rank,Prob_B1,Mean_Prob_Runs,Std_Prob_Runs (sigma_j),Range_Prob_Runs (R_j),N_runs
gpt-4o,question_000,0,1,0.977215655988052,0.9742356860796574,0.004371271361423159,0.011045374729185986,30
gpt-4o,question_000,0,2,0.015795219878771177,0.018661787104003912,0.004002883646750201,0.009971599539072054,30
gpt-4o,question_000,0,3,0.0021376505560780725,0.0021689823919591486,0.0001670023637796396,0.0006100630413069556,30
gpt-4o,question_000,0,4,0.0015158212252057038,0.0013744958691595636,0.0001471637186460333,0.0004946977578573013,30
gpt-4o,question_000,0,5,0.0009338703657750028,0.0010103636982906926,8.015050472669307e-05,0.0003009930843061052,30
gpt-4o,question_000,0,6,0.0008911053281735918,0.0010385487692949021,0.0001134054074450262,0.00039696714937767583,30
gpt-4o,question_000,0,7,0.0005576394652444853,0.000602178166095853,7.784362992915148e-05,0.00029191280117333847,30
gpt-4o,question_000,0,8,0.0004275570090216566,0.0004178826521612325,7.266226139055441e-05,0.00024087112413125007,30
gpt-4o,question_000,0,9,0.00016228241351449828,0.0001639109503613364,2.0268417766424827e-05,8.49329250987379e-05,30
gpt-4o,question_000,0,10,8.551682248158058e-05,7.646989308676211e-05,1.0199554419118481e-05,4.273227641808146e-05,30
gpt-4o,question_000,1,1,0.3898934757573746,0.3927225657013589,0.007817705058025405,0.036042476282342306,30
gpt-4o,question_000,1,2,0.3494982737054729,0.3540837953485944,0.008312614305166197,0.030999309075255277,30
gpt-4o,question_000,1,3,0.22920656380779872,0.22487814993093982,0.00680967492448832,0.026339763292207108,30
gpt-4o,question_000,1,4,0.0300653583121113,0.026981600287477994,0.00223619085958619,0.0076409131681654495,30
gpt-4o,question_000,1,5,0.00021903979474652822,0.00022418402480694417,2.398888043565559e-05,0.00011846599464986529,30
gpt-4o,question_000,1,6,0.00020900923225966004,0.00021234739102636658,2.0190869059081777e-05,8.326530739919609e-05,30
gpt-4o,question_000,1,7,0.00013285435121093158,0.00013659469534802693,1.5371557863120765e-05,5.9852925601566485e-05,30
gpt-4o,question_000,1,8,0.00012480511297915844,0.00012040848596403826,1.2286178562786513e-05,4.742813998663664e-05,30
gpt-4o,question_000,1,9,0.00012287018904803894,0.00011269115559330697,1.2299640174476103e-05,4.182463032208841e-05,30
gpt-4o,question_000,1,10,0.0001002837255905674,0.00010533345769469667,1.4207380271099563e-05,5.24386592676761e-05,30
gpt-4o,question_000,2,1,0.9998188826321831,0.9998292955922587,1.5477366417128946e-05,7.17413407712586e-05,30
gpt-4o,question_000,2,2,0.00017952767240171237,0.00016920032089177842,1.533192236229251e-05,7.095792153963783e-05,30
gpt-4o,question_000,2,3,6.324790761231727e-07,5.698263985590745e-07,7.717151411542883e-08,3.0665562448069763e-07,30
