Model,Question,BatchSize,Step,Branch_ID,Token_ID,Prob,Is_Div_Point
gemma3,question_005,16,0,0,19058,0.9627599537372589,0
gemma3,question_005,16,1,0,236764,0.9999989008903504,0
gemma3,question_005,16,2,0,1531,1.0,0
gemma3,question_005,16,3,0,236789,0.9999997639656066,0
gemma3,question_005,16,4,0,236751,1.0,0
gemma3,question_005,16,5,0,2541,0.49999705382755827,1
gemma3,question_005,16,6,0,1679,1.0,0
gemma3,question_005,16,7,0,1546,0.9998954108783177,0
gemma3,question_005,16,8,0,5086,0.947146298629897,0
gemma3,question_005,16,9,0,531,0.726625776716641,0
gemma3,question_005,16,10,0,6054,0.9890000500849315,0
gemma3,question_005,16,5,1,18840,0.5621730847792192,1
gemma3,question_005,16,6,1,1546,0.9999899593266574,0
gemma3,question_005,16,7,1,5086,0.953998094255274,0
gemma3,question_005,16,8,1,531,0.9824828180399808,0
gemma3,question_005,16,9,1,6054,0.999949411912398,0
gemma3,question_005,16,10,1,506,0.981222000989047,0
gemma3,question_003,16,0,0,8291,0.8536213266849518,0
gemma3,question_003,16,1,0,236789,0.9999843692779541,0
gemma3,question_003,16,2,0,236751,1.0,0
gemma3,question_003,16,3,0,1217,0.6891896867752075,0
gemma3,question_003,16,4,0,692,0.6841674423217774,0
gemma3,question_003,16,5,0,740,0.9940305471420288,0
gemma3,question_003,16,6,0,2541,0.5282986831665039,0
gemma3,question_003,16,7,0,1679,0.9882125520706176,0
gemma3,question_003,16,8,0,506,0.9069339525699616,0
gemma3,question_003,16,9,0,2934,0.7456123924255371,0
gemma3,question_003,16,10,0,531,0.5175526249408722,0
gemma3,question_003,16,11,0,1586,0.9749469733238221,0
gemma3,question_003,16,12,0,506,0.9999998807907104,0
gemma3,question_003,16,13,0,4338,0.936517390012741,0
gemma3,question_003,16,14,0,3890,0.9999924731254578,0
gemma3,question_003,16,15,0,236787,0.999980537891388,0
gemma3,question_003,16,16,0,108,0.9965091562271118,0
gemma3,question_003,16,17,0,236829,0.9999933338165283,0
gemma3,question_003,16,18,0,139,0.9944709348678589,0
gemma3,question_003,16,19,0,1018,0.9999567246437073,0
gemma3,question_003,16,20,0,76066,0.9117379665374756,0
gemma3,question_003,16,21,0,13325,0.31725884199142457,0
gemma3,question_003,16,22,0,630,0.9834604334831237,0
gemma3,question_003,16,23,0,3687,1.0,0
gemma3,question_003,16,24,0,53121,0.9995531260967254,0
gemma3,question_003,16,25,0,669,0.9864351415634155,0
gemma3,question_003,16,26,0,2590,0.9971467220783233,0
gemma3,question_003,16,27,0,13325,0.9999998950958252,0
gemma3,question_003,16,28,0,815,0.9854089212417603,0
gemma3,question_003,16,29,0,496,0.9996724247932434,0
gemma3,question_003,16,30,0,63960,0.7690116226673126,0
gemma3,question_003,16,31,0,8345,0.5807444524765014,0
gemma3,question_003,16,32,0,3904,0.7525515007972717,0
gemma3,question_003,16,33,0,236761,0.9983208870887756,0
gemma3,question_003,16,34,0,5884,0.4945592257109555,1
gemma3,question_003,16,35,0,10095,0.6270684636000431,0
gemma3,question_003,16,36,0,26867,0.9999971462018562,0
gemma3,question_003,16,37,0,659,0.9916718782800616,0
gemma3,question_003,16,38,0,506,0.9786000414328142,0
gemma3,question_003,16,39,0,7310,0.9999748432275021,0
gemma3,question_003,16,34,1,167048,0.5542219596750596,1
gemma3,question_003,16,35,1,2768,0.9503010897075429,0
gemma3,question_003,16,36,1,506,0.9951034398639903,0
gemma3,question_003,16,37,1,7310,0.999288376639871,0
gemma3,question_003,16,38,1,26867,0.9178847179693335,0
gemma3,question_003,16,39,1,236761,0.9978269478854012,0
