Model,Question,BatchSize,Token_Step,Token_Rank,Token_ID,Prob_B1,Mean_Prob_Runs,Std_Prob_Runs (sigma_j),Range_Prob_Runs (R_j),Logit_B1,Mean_Logit_Runs,Std_Logit_Runs,Range_Logit_Runs
gemma3_270M,question_000,2,0,1,6481,0.09643975645303726,0.14501798152923584,0.03767792135477066,0.10924733430147171,10.25,10.678750038146973,0.35111650824546814,1.125
gemma3_270M,question_000,2,0,2,8291,0.006562808062881231,0.010039381682872772,0.0020022126846015453,0.009447879157960415,7.5625,8.028124809265137,0.25929969549179077,1.09375
gemma3_270M,question_000,2,0,3,818,0.00241432199254632,0.0032183814328163862,0.0006031554075889289,0.002623581327497959,6.5625,6.891249656677246,0.25824224948883057,1.09375
gemma3_270M,question_000,2,0,4,2021,0.0005558084812946618,0.0008302639471367002,0.00019268275354988873,0.0009691847662907094,5.09375,5.525000095367432,0.31212475895881653,1.40625
gemma3_270M,question_000,2,0,5,19058,9.216208854923025e-05,0.00010770397784654051,1.9875504222000018e-05,0.00010955378820654005,3.296875,3.497499942779541,0.2292429804801941,1.09375
gemma3_270M,question_000,2,0,6,1882,3.841887155431323e-05,5.699969915440306e-05,1.2521667485998478e-05,7.026012463029474e-05,2.421875,2.8506250381469727,0.28914543986320496,1.515625
gemma3_270M,question_000,2,0,7,5471,2.2235139113035984e-05,3.5690798540599644e-05,6.911580840096576e-06,3.766553709283471e-05,1.875,2.390624761581421,0.23974576592445374,1.28125
gemma3_270M,question_000,2,0,8,7280,2.0087773009436205e-05,3.196371108060703e-05,7.03610612617922e-06,3.8454887544503435e-05,1.7734375,2.272031307220459,0.2916927933692932,1.4453125
gemma3_270M,question_000,2,0,9,4324,6.70232884658617e-06,8.376193363801576e-06,1.4482235428658896e-06,7.073977030813694e-06,0.67578125,0.9441601037979126,0.23103773593902588,1.0908203125
gemma3_270M,question_000,2,0,10,26479,5.354009317670716e-06,1.0255862434860319e-05,2.0118491192988586e-06,1.15564880616148e-05,0.451171875,1.1424999237060547,0.25133949518203735,1.27734375
gemma3_270M,question_000,2,1,1,236789,0.8955643773078918,0.8579522967338562,0.00953727588057518,0.05163705348968506,23.375,22.610000610351562,0.14499999582767487,0.75
gemma3_270M,question_000,2,1,2,506,0.06487446278333664,0.09180900454521179,0.006830899976193905,0.04073687642812729,20.75,20.372499465942383,0.13804437220096588,0.75
gemma3_270M,question_000,2,1,3,609,0.03934835270047188,0.04992346093058586,0.004344043787568808,0.029656652361154556,20.25,19.76249885559082,0.10680004954338074,0.625
gemma3_270M,question_000,2,1,4,775,6.70346271363087e-05,7.403331983368844e-05,5.995706942485413e-06,3.297691000625491e-05,13.875,13.248749732971191,0.15884838998317719,0.6875
gemma3_270M,question_000,2,1,5,538,4.328080831328407e-05,7.454666047124192e-05,8.251845429185778e-06,4.9323040002491325e-05,13.4375,13.253748893737793,0.10109556466341019,0.5625
gemma3_270M,question_000,2,1,6,756,1.9205743228667416e-05,2.7767368010245264e-05,2.585392394394148e-06,1.3270488125272095e-05,12.625,12.267498970031738,0.10535653680562973,0.5
gemma3_270M,question_000,2,1,7,874,1.495744800195098e-05,2.3765373043715954e-05,3.070170123464777e-06,1.5839090337976813e-05,12.375,12.108749389648438,0.08822024613618851,0.4375
gemma3_270M,question_000,2,1,8,496,1.4051221114641521e-05,2.065281296381727e-05,2.2569859083887422e-06,1.0067946277558804e-05,12.3125,11.969999313354492,0.1251499056816101,0.625
gemma3_270M,question_000,2,1,9,623,1.3199901331972796e-05,1.998349034693092e-05,2.790359076243476e-06,1.2170530681032687e-05,12.25,11.93375015258789,0.13886256515979767,0.625
gemma3_270M,question_000,2,1,10,510,7.5210768955003005e-06,1.2119995517423376e-05,1.2654991223826073e-06,6.493627552117687e-06,11.6875,11.4375,0.09013877809047699,0.5
gemma3_270M,question_000,2,2,1,236751,1.0,1.0,0.0,0.0,68.0,68.39999389648438,1.6186414957046509,9.0
gemma3_270M,question_000,2,2,2,236745,6.22414481066258e-11,6.25641274898392e-11,6.57177992580138e-11,3.403423220332824e-10,44.5,44.589996337890625,1.0280563831329346,6.25
gemma3_270M,question_000,2,2,3,4834,1.0815941024755471e-11,1.0093473799821506e-11,9.27652659549194e-12,4.733369501474377e-11,42.75,42.840003967285156,1.015824794769287,5.5
gemma3_270M,question_000,2,2,4,237693,3.098819161342914e-12,2.9905058464285705e-12,2.438248821595712e-12,1.3349449746579561e-11,41.5,41.665000915527344,1.0719258785247803,5.75
gemma3_270M,question_000,2,2,5,206611,6.914400150527522e-13,8.340784660165745e-13,8.839605479885049e-13,5.015512704047327e-12,40.0,40.255001068115234,0.9413952231407166,5.25
gemma3_270M,question_000,2,2,6,1075,2.5436656904062604e-13,3.2671822604128653e-13,3.883163322143668e-13,1.845104096771669e-12,39.0,39.269996643066406,0.8829495310783386,5.0
gemma3_270M,question_000,2,2,7,236895,2.5436656904062604e-13,2.2613210132541028e-13,2.9696714922214373e-13,1.4428988552068903e-12,39.0,38.83000183105469,0.8447484374046326,5.0
gemma3_270M,question_000,2,2,8,236744,1.2015425275829078e-13,1.0704181004029742e-13,1.4996193848336448e-13,8.75162376107793e-13,38.25,38.06999969482422,0.8660831451416016,5.25
gemma3_270M,question_000,2,2,9,236843,1.2015425275829078e-13,1.2813488876710355e-13,1.5995147914504848e-13,8.75162376107793e-13,38.25,38.31500244140625,0.8871442675590515,5.0
gemma3_270M,question_000,2,2,10,5399,9.357622912219837e-14,1.1884078248390606e-13,1.3122497337890449e-13,6.787758492755001e-13,38.0,38.279998779296875,0.9022749066352844,5.0
gemma3_270M,question_000,2,3,1,18840,0.9143630266189575,0.9075151681900024,0.013740124180912971,0.0529482364654541,34.5,34.439998626708984,0.19723083078861237,1.0
gemma3_270M,question_000,2,3,2,2541,0.07505548745393753,0.084024578332901,0.012684459798038006,0.05098655819892883,32.0,32.04999923706055,0.18874585628509521,0.875
gemma3_270M,question_000,2,3,3,9279,0.007910790853202343,0.00629707146435976,0.0011236361460760236,0.004348665941506624,29.75,29.454998016357422,0.18834808468818665,0.875
gemma3_270M,question_000,2,3,4,1966,0.00176513590849936,0.0013608105946332216,0.00013307279732543975,0.00065558438654989,28.25,27.932498931884766,0.19073869287967682,0.875
gemma3_270M,question_000,2,3,5,6054,0.00030673464061692357,0.0002556166145950556,3.4116401366190985e-05,0.00017868430586531758,26.5,26.25749969482422,0.186094731092453,1.0
gemma3_270M,question_000,2,3,6,1171,0.00023888518626336008,0.00024306369596160948,4.4673215597867966e-05,0.0001746657071635127,26.25,26.19999885559082,0.19364917278289795,1.0
gemma3_270M,question_000,2,3,7,10769,0.0001278660201933235,9.36533251660876e-05,1.10229266283568e-05,4.9066831707023084e-05,25.625,25.255001068115234,0.1499166339635849,0.75
gemma3_270M,question_000,2,3,8,1586,6.039962681825273e-05,5.113163570058532e-05,7.08781044522766e-06,3.522725819493644e-05,24.875,24.647499084472656,0.16334396600723267,0.875
gemma3_270M,question_000,2,3,9,3050,4.151201937929727e-05,3.8283753383439034e-05,4.721785444417037e-06,3.052253850910347e-05,24.5,24.360000610351562,0.19467923045158386,1.0
gemma3_270M,question_000,2,3,10,13901,3.6634228308685124e-05,3.305845530121587e-05,6.031491466274019e-06,2.358865094720386e-05,24.375,24.204999923706055,0.2011839896440506,1.0
gemma3_270M,question_000,2,4,1,506,0.9945253729820251,0.9943172931671143,0.0003509769157972187,0.002186119556427002,23.125,23.11749839782715,0.07668931037187576,0.5
