Task,Question,BatchSize,Token_Step,Token_Rank,Token_ID,Prob_B1,Mean_Prob_Runs,Std_Prob_Runs (sigma_j),Range_Prob_Runs (R_j)
2xA6000,question_000,2,0,1,8291,0.9205837845802307,0.92190021276474,0.005647939629852772,0.016739249229431152
2xA6000,question_000,2,0,2,19058,0.0755661204457283,0.07329513877630234,0.005433057434856892,0.015725359320640564
2xA6000,question_000,2,0,3,6481,0.0022818990983068943,0.0028814743272960186,0.00016578131180722266,0.0006571635603904724
2xA6000,question_000,2,0,4,818,0.0010778927244246006,0.0013304135063663125,0.00011388769053155556,0.0003290296299383044
2xA6000,question_000,2,0,5,1018,0.0003965345968026668,0.00047631943016313016,5.308855907060206e-05,0.0001945052354130894
2xA6000,question_000,2,0,6,1882,5.366512050386518e-05,6.746144936187193e-05,4.371941031422466e-06,1.6447149391751736e-05
2xA6000,question_000,2,0,7,7280,2.5349610950797796e-05,3.086895594606176e-05,3.077065230172593e-06,1.0171146641368978e-05
2xA6000,question_000,2,0,8,10274,6.4093846958712675e-06,7.926305443106685e-06,6.383498316608893e-07,2.9122202249709517e-06
2xA6000,question_000,2,0,9,22736,2.671829179234919e-06,2.87125703835045e-06,2.903392442021868e-07,1.3107410268275999e-06
2xA6000,question_000,2,0,10,5471,2.0808226963708876e-06,2.454938339724322e-06,3.467921771971305e-07,1.0219264368060976e-06
2xA6000,question_000,2,1,1,236789,0.9999973773956299,0.9999973773956299,1.9947529494857008e-07,5.960464477539062e-07
2xA6000,question_000,2,1,2,563,2.5612819172238233e-06,2.4738237698329613e-06,1.7524305917504535e-07,5.665522166964365e-07
2xA6000,question_000,2,1,3,236858,4.139926801371985e-08,3.5999619285576046e-08,2.60753640901612e-09,1.2945994498636537e-08
2xA6000,question_000,2,1,4,239111,1.1861088999864933e-08,9.378532617176916e-09,7.077870511906781e-10,3.709091700443423e-09
2xA6000,question_000,2,1,5,659,1.0467374522704631e-08,1.1218373785482072e-08,1.221641121595951e-09,3.709091700443423e-09
2xA6000,question_000,2,1,6,692,4.3634509339085525e-09,4.276301535099947e-09,2.8279628638827603e-10,1.5461771862845808e-09
2xA6000,question_000,2,1,7,236764,3.850731733479051e-09,2.9744058327452194e-09,1.7373182059632342e-10,1.062672394525066e-09
2xA6000,question_000,2,1,8,25080,3.850731733479051e-09,3.004473114742723e-09,1.7934791152196539e-10,1.062672394525066e-09
2xA6000,question_000,2,1,9,564,3.3982590075254393e-09,2.9593718586795603e-09,1.6885863540760937e-10,1.0626706181682266e-09
2xA6000,question_000,2,1,10,236775,2.3355868350449782e-09,1.6776114941663423e-09,1.6100105970640044e-10,9.18982223652165e-10
2xA6000,question_000,2,2,1,236751,1.0,1.0,0.0,0.0
2xA6000,question_000,2,2,2,236745,1.3176514046531196e-10,1.2890141731780602e-10,9.736443422336816e-12,4.6690672161897595e-11
2xA6000,question_000,2,2,3,503,6.224144116773189e-11,5.766074076540839e-11,5.1503554025778e-12,2.4991713559741058e-11
2xA6000,question_000,2,2,4,154090,2.940077695190446e-11,2.9268462653497807e-11,2.3143756876231603e-12,1.4853998239749977e-11
2xA6000,question_000,2,2,5,236773,2.2897348947448215e-11,2.255397604788989e-11,1.4924468995716755e-12,8.113622620986582e-12
2xA6000,question_000,2,2,6,236744,1.573710259328287e-11,1.4843539591913313e-11,1.5988249136081323e-12,4.921160701165661e-12
2xA6000,question_000,2,2,7,236746,1.2256066821147993e-11,1.0671567796105563e-11,9.671527901461419e-13,5.464480430650287e-12
2xA6000,question_000,2,2,8,506,7.433680407342713e-12,6.761821137735158e-12,7.366086365000191e-13,4.435945968189747e-12
2xA6000,question_000,2,2,9,563,6.5602007333354084e-12,6.3705191295782004e-12,7.457578933729725e-13,5.309451229368323e-12
2xA6000,question_000,2,2,10,253696,2.9110711237401166e-12,2.653866492882684e-12,2.1969753761456184e-13,1.0980710698355045e-12
2xA6000,question_000,2,3,1,496,0.5605130195617676,0.6143981218338013,0.01802494190633297,0.060826659202575684
2xA6000,question_000,2,3,2,1217,0.43652796745300293,0.3823041319847107,0.018026145175099373,0.06057244539260864
2xA6000,question_000,2,3,3,506,0.0029413022566586733,0.0032799942418932915,0.00024556583957746625,0.0016391428653150797
2xA6000,question_000,2,3,4,2918,1.7489623132860288e-05,1.7467331417719834e-05,1.26504392028437e-06,7.369338163698558e-06
2xA6000,question_000,2,3,5,1041,1.9429216990829445e-07,1.920602841209984e-07,1.2825362105672866e-08,7.597979845286318e-08
2xA6000,question_000,2,3,6,138,5.566563743286679e-08,6.10991364169422e-08,3.619097466156518e-09,2.2291402501650737e-08
2xA6000,question_000,2,3,7,562,2.0478243101251792e-08,2.3199030252385455e-08,2.072182425649771e-09,1.2931735682286671e-08
2xA6000,question_000,2,3,8,1023,1.8071986573886534e-08,2.4922023555973283e-08,1.7255858963949322e-09,9.086853935968975e-09
2xA6000,question_000,2,3,9,14938,9.673237322260775e-09,1.08410729282582e-08,8.147226226995485e-10,5.537786229581343e-09
2xA6000,question_000,2,3,10,614,6.648312123047617e-09,8.316193067514632e-09,5.962522697799955e-10,4.048893664787556e-09
2xA6000,question_000,2,4,1,2918,0.9999393224716187,0.9999502301216125,4.8475508265255485e-06,1.3589859008789062e-05
2xA6000,question_000,2,4,2,25890,5.829112706123851e-05,4.7460711357416585e-05,4.726780844066525e-06,1.2893357052234933e-05
2xA6000,question_000,2,4,3,145783,2.2601923319598427e-06,2.0411212062754203e-06,1.656565444818625e-07,8.008697705008672e-07
2xA6000,question_000,2,4,4,9813,2.8451621503222668e-08,2.942937271654955e-08,2.677578825327487e-09,1.1423802348531353e-08
2xA6000,question_000,2,4,5,28888,2.8451621503222668e-08,2.928673836777307e-08,2.713754110317268e-09,1.1423802348531353e-08
2xA6000,question_000,2,4,6,3305,1.522905712647571e-08,1.6937931945903983e-08,8.625120062610847e-10,4.325432456653289e-09
2xA6000,question_000,2,4,7,3465,1.3439594326314364e-08,1.4789256930214378e-08,1.115564529641233e-09,6.789873552293102e-09
2xA6000,question_000,2,4,8,6555,4.363197803058938e-09,4.992803059877815e-09,3.3337657634469053e-10,1.7519701245305441e-09
2xA6000,question_000,2,4,9,146342,3.398061609871661e-09,3.878447341065794e-09,2.643749108521831e-10,1.546087480264191e-09
2xA6000,question_000,2,4,10,138,2.9987790028940253e-09,3.0617794966047995e-09,2.6056101720683955e-10,1.2040950458924726e-09
2xA6000,question_000,2,5,1,236772,0.9999810457229614,0.9999786019325256,9.411873520548397e-07,5.364418029785156e-06
2xA6000,question_000,2,5,2,684,1.8925147742265835e-05,2.1465080862981267e-05,9.325872838417126e-07,5.375091859605163e-06
2xA6000,question_000,2,5,3,531,1.6051975304520738e-09,1.6077047471085848e-09,9.010585333424359e-11,4.023442690126444e-10
2xA6000,question_000,2,5,4,753,7.582416361451294e-10,7.059686724097958e-10,6.199653984628739e-11,1.900540280708185e-10
2xA6000,question_000,2,5,5,3465,2.7894153653562626e-10,2.5914312362651515e-10,2.3844438576392513e-11,6.991773826570125e-11
2xA6000,question_000,2,5,6,2003,2.172398649857854e-10,2.6999449898035266e-10,1.7896148105100984e-11,6.170149113859935e-11
2xA6000,question_000,2,5,7,532,1.9171352005908915e-10,1.9920028127007328e-10,1.7104361330066986e-11,5.4451373965314076e-11
2xA6000,question_000,2,5,8,236761,1.4930663649881382e-10,1.521423681483114e-10,8.212339662472257e-12,4.2406231304248365e-11
2xA6000,question_000,2,5,9,726,7.991808603780015e-11,8.893794728459525e-11,5.415709547484937e-12,3.208901200313363e-11
2xA6000,question_000,2,5,10,236779,7.991808603780015e-11,9.000537121162111e-11,4.690862715622801e-12,2.269871096638454e-11
2xA6000,question_000,2,6,1,2003,0.9999986886978149,0.9999983906745911,1.1511568942523809e-07,8.344650268554688e-07
2xA6000,question_000,2,6,2,9340,1.0677026693883818e-06,1.339138179901056e-06,1.1693544621493857e-07,8.180984423233895e-07
2xA6000,question_000,2,6,3,5059,9.931181921274401e-08,1.0962712337914127e-07,9.377058241000213e-09,5.685537729505086e-08
2xA6000,question_000,2,6,4,3843,6.825594311976602e-08,7.438511318014207e-08,5.987527806894377e-09,2.74066493943792e-08
2xA6000,question_000,2,6,5,1071,8.152009733919385e-09,9.14788245154341e-09,9.581873072761482e-10,6.246259065534332e-09
2xA6000,question_000,2,6,6,17429,4.363456707068281e-09,4.890062577089793e-09,4.3603301524974825e-10,2.4980546520225744e-09
2xA6000,question_000,2,6,7,5140,1.6052258411392017e-09,1.5979345624472785e-09,1.2353570943979264e-10,8.109978244519311e-10
2xA6000,question_000,2,6,8,1048,1.1032545987887943e-09,1.2680438921108816e-09,1.2298863316662079e-10,8.453390210050316e-10
2xA6000,question_000,2,6,9,45518,6.691577292272655e-10,7.476551600049675e-10,6.182440670521316e-11,3.8308850536239447e-10
2xA6000,question_000,2,6,10,1553,5.905296251995651e-10,6.698219201517475e-10,6.000183683241289e-11,3.8308900496275555e-10
2xA6000,question_000,2,7,1,236772,1.0,1.0,0.0,0.0
2xA6000,question_000,2,7,2,2918,2.061153470123145e-09,2.02962446849142e-09,2.0072950246419197e-10,1.3937329068625104e-09
2xA6000,question_000,2,7,3,236779,1.3176514046531196e-10,1.4792403413288469e-10,1.1761399146270612e-11,7.543481811422836e-11
2xA6000,question_000,2,7,4,236784,1.3176514046531196e-10,1.414508787878077e-10,1.4453484416254714e-11,4.6690672161897595e-11
2xA6000,question_000,2,7,5,236761,4.8473686869998645e-11,4.8551544729047436e-11,2.8366540887059255e-12,1.9463562705990256e-11
2xA6000,question_000,2,7,6,753,4.8473686869998645e-11,5.069247105415897e-11,7.047742164173476e-12,4.7782895695736016e-11
2xA6000,question_000,2,7,7,236862,4.2777878461741636e-11,4.179211143817696e-11,3.5993534541756134e-12,1.9072909918094183e-11
2xA6000,question_000,2,7,8,3465,1.783247334519178e-11,1.5289134541740523e-11,1.2833614379537117e-12,7.950772852594046e-12
